Q#,Question Preview,Trap Codes,Complexity,Priority,Multi-Trap,Correct,Study Focus
95,An organization has various forms of intellectual property that are labeled as confidential,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
96,"Which of the following is a part of the creation, management, and disposal of system user",CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
97,NIST SP 800-145 defines three cloud service models. Which one of the three would,SCOPE,🟢 MEDIUM,HIGH,No,,Cloud responsibility matrix
98,What activity would represent an outcome of identity and access management,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
99,What role is authentication information based upon that is utilized during the identity,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
100,A primary goal of federated identity management (FIM) is to,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
101,"When Type I errors are equal to Type II errors on a biometric system, what state has been",CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
102,What scenario below represents multi-factor authentication?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
103,Your organization has system administrators that have management control of server,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
104,Vulnerability scanning could be used to determine_________.,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
105,A company is hosting a web front-end service that has users that access services from,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
106,What method should be used to test the thoroughness of the logic of code?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
107,What are proper considerations to make when selecting a testing method?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
108,Code-based testing is also known as ________,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
109,What would you recommend to the executive management of this company for being able,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
110,What action should be taken to address the perceived response of the employees at the,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
111,What would be a way to discern if the desired change is being achieved?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
112,What should be avoided in test output data?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
113,Which audit should be done to address the concern about the length of time the service,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
114,What audit should be done to provide assurance about the availability and confidentiality,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
115,What type of audit should be done on the service provider?,SCOPE,🟢 MEDIUM,HIGH,No,,Cloud responsibility matrix
116,Which trust services principles are most appropriate for the auditor to focus on?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
117,List examples of security awareness sources for an awareness program.,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
118,What control is specified in ISO 27002 concerning test data?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
119,Third-party assessments are ________,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
120,What is the primary purpose of a negative test?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
121,Interface testing can be used to __________,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
122,"Once code inspection is complete, what kind of software testing occurs?",CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
123,Which of the following terms is most associated with the concept of need-to-know?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
124,Which of the following is not true about privileged accounts?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
125,Which of the following is not a benefit the organization realized from job rotation?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
126,In which phase of the information lifecycle is data moved from the production,ORDER,🟢 MEDIUM,CRITICAL,No,,Concept understanding
127,What is usually the enforcement mechanism of a service-level agreement (SLA)?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
128,Which of the following is not typically reflected in the asset inventory?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
129,All of the following departments typically will be represented on the Change Management,ABS,🔵 LOW,HIGH,No,,Eliminate absolute language
130,What should always be included in the patch process?,ABS,🔵 LOW,HIGH,No,,Eliminate absolute language
131,Patches should be tested ________.,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
132,Which of the following is a preventative measure to counter the possibility of lost/stolen,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
133,"Which of the following is not an acceptable, suggested practice in dealing with third-party",NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
134,One of the best benefits of anti-malware systems is _________.,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
135,Which of the following entities/activities is not usually involved in incident detection?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
136,Which of the following is not one of the main variables affecting how an organization,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
137,All incident management actions should be __________.,ABS,🔵 LOW,HIGH,No,,Eliminate absolute language
138,Who should decide how an incident would be addressed?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
139,Which kind of investigation should be performed if the organization does not want to,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
140,Which of the following is used to ensure evidence collected is evidence presented to,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
141,Which of the following is not a trait expected of evidence presented to a court?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
142,Which of the following is not a typical location for placement of an intrusion detection,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
143,How should buffer overflow vulnerabilities be addressed?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
144,How is an interpreted language application different from a compiled language,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
145,Why is it important to build security into the application as opposed to adding it later?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
146,What is a common issue to consider regarding the cryptographic protection of data in,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
147,What are the reasons that testing applications with live data or testing in a production,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
148,What is the purpose of the Capability Maturity Model Integration for Development,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
149,What is the PRIMARY security issue with application backdoors?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
150,The primary key is used to uniquely identify records in a database. By adding additional,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
151,A database that uses pre-defined groupings of data that can only be accessed based upon,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
152,Which of the following database attacks describes an attack where the perpetrator uses,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
153,One of the most significant differences between the software development lifecycle,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
154,How can polyinstantiation be used to protect a sensitive database?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
155,Why does compiled code pose more of a security risk than interpreted code?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
156,Which framework allows organizations to evaluate their software process based on quality,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
157,The security of an application is most effective and economical in which of the following?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
158,Building security into the application begins at,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
159,Which of the following is MOST likely to cause long-term damage?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
160,Why is inference from a database an important security problem to address?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
161,What is the name of a malicious program that has the ability to infect both program files,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
162,Which of the following best characterizes a buffer overflow attack?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
